software,algorithm,pop_size,max_evals,fitness,fold,llm_model,reference_fitness_train,best_patch_fitness_train,change_perc_train,reference_fitness_validate,patch_fitness_validate,change_perc_validate,patch_length,search_time_minutes,Vt,Vc,llm_patches_requested,llm_malformed_patches,llm_missing_patches,llm_malformed_ratio,llm_missing_ratio,train_log,validate_log
pngOptim,UMDAAlgorithm,50.0,750,Perf<Cycles>,4,qwen2.5-coder:7b,245181613599.0,11805896806.0,-95.185,140160912733.0,4800515887.0,-96.575,2,363.56595,0.436,0.504,686.0,204.0,0.0,0.297,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1781808997_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1782109663_FOLD4-val_1781808997_UMDAAlgorithm_qwen2.5-coder:7b.log
pngOptim,UMDAAlgorithm,50.0,500,Perf<Cycles>,1,qwen2.5-coder:7b,371360523217.0,304705007159.0,-17.949,13976476435.0,10296104270.0,-26.333,4,605.7180833333333,0.51,0.578,441.0,117.0,0.0,0.265,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1781792899_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1782109570_FOLD1-val_1781792899_UMDAAlgorithm_qwen2.5-coder:7b.log
pngOptim,UMDAAlgorithm,50.0,750,Perf<Cycles>,2,qwen2.5-coder:7b,298928564138.0,14479170886.0,-95.156,87955347382.0,5806392647.0,-93.398,1,507.1050833333333,0.453,0.524,686.0,217.0,18.0,0.316,0.026,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1781808007_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1782109653_FOLD2-val_1781808007_UMDAAlgorithm_qwen2.5-coder:7b.log
weka,UMDAAlgorithm,50.0,1000,Perf<Cycles>,4,qwen2.5-coder:7b,108267270819.0,106920430305.0,-1.244,15578206567.0,15982798154.0,2.597,3,238.98363333333333,0.399,0.407,931.0,23.0,31.0,0.025,0.033,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781824868_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122131_FOLD4-val_1781824868_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,1000,Perf<Cycles>,1,qwen2.5-coder:7b,76093681635.0,59808299808.0,-21.402,8258705446.0,8152411450.0,-1.287,3,239.55166666666668,0.4,0.46,931.0,40.0,176.0,0.043,0.189,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781825078_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782200981_FOLD1-val_1781825078_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,1000,Perf<Cycles>,3,qwen2.5-coder:7b,63483147132.0,49973679886.0,-21.28,20561206197.0,22460723940.0,9.238,3,203.4764833333333,0.374,0.409,931.0,48.0,177.0,0.052,0.19,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781827779_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782200994_FOLD3-val_1781827779_UMDAAlgorithm_qwen2.5-coder:7b.log
weka,UMDAAlgorithm,50.0,1000,Perf<Cycles>,5,qwen2.5-coder:7b,101662433231.0,98975394872.0,-2.643,23047615680.0,22947664264.0,-0.434,2,251.59798333333336,0.48,0.481,931.0,16.0,78.0,0.017,0.084,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781824928_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122130_FOLD5-val_1781824928_UMDAAlgorithm_qwen2.5-coder:7b.log
weka,UMDAAlgorithm,50.0,1000,Perf<Cycles>,2,qwen2.5-coder:7b,102274285693.0,99627703073.0,-2.588,24104211756.0,23558861145.0,-2.262,2,332.4926,0.567,0.573,931.0,64.0,0.0,0.069,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781820968_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122123_FOLD2-val_1781820968_UMDAAlgorithm_qwen2.5-coder:7b.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,1,llama3.1:8b,49969504529.0,41172013625.0,-17.606,293126454.0,300818551.0,2.624,2,20.453016666666667,0.51,0.61,49.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1781840108_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1782121898_FOLD1-val_1781840108_UMDAAlgorithm_llama3.1:8b.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,2,llama3.1:8b,48537736267.0,40450275990.0,-16.662,1246473074.0,1165343051.0,-6.509,2,19.76498333333333,0.52,0.6,49.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1781840168_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1782121900_FOLD2-val_1781840168_UMDAAlgorithm_llama3.1:8b.log
sat4j,UMDAAlgorithm,50.0,1000,Perf<Cycles>,2,qwen2.5-coder:7b,76666472477.0,28720149802.0,-62.539,7858415707.0,5565784389.0,-29.174,2,250.91976666666667,0.46,0.51,931.0,33.0,225.0,0.035,0.242,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781826667_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782200993_FOLD2-val_1781826667_UMDAAlgorithm_qwen2.5-coder:7b.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,5,llama3.1:8b,13507607341.0,13056606812.0,-3.339,36239876598.0,36143720346.0,-0.265,1,10.600733333333332,0.52,0.6,49.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1781841428_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1782121903_FOLD5-val_1781841428_UMDAAlgorithm_llama3.1:8b.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,3,llama3.1:8b,38299778583.0,30216376929.0,-21.106,11669091888.0,11668147588.0,-0.008,1,23.7965,0.52,0.6,49.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1781841097_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1782121901_FOLD3-val_1781841097_UMDAAlgorithm_llama3.1:8b.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,4,llama3.1:8b,49825428840.0,41727485178.0,-16.253,286799073.0,44649388.0,-84.432,1,21.77648333333333,0.53,0.63,49.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1781841429_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1782121904_FOLD4-val_1781841429_UMDAAlgorithm_llama3.1:8b.log
weka,UMDAAlgorithm,50.0,100,Perf<Cycles>,2,llama3.1:8b,99909577713.0,98855410067.0,-1.055,24044878254.0,23584397077.0,-1.915,1,19.5418,0.41,0.41,49.0,1.0,0.0,0.02,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781842118_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122132_FOLD2-val_1781842118_UMDAAlgorithm_llama3.1:8b.log
